rcid,mean_beta,q025,q975
4428,0.07774762994255935,-0.006835419990976149,0.16380738649522783
4429,-1.5224199754798684,-2.001886158032572,-1.0463557277857214
4439,0.62273199952759,0.43357737442188155,0.8206182649379834
4440,0.2977051309228267,0.15832515190451343,0.39761160795722117
4441,0.2563279854656253,0.15781429770519725,0.3813801722729215
4455,0.2479078043162979,0.15201690835212042,0.3566827619691626
4456,0.5625631224451275,0.3748280451684731,0.714848502572973
4457,0.49086796695157253,0.3247714213294501,0.6418055139478942
4458,-1.3089264567681238,-1.877634451530294,-0.8414886917029816
4465,0.03808019483338432,-0.06619137364208054,0.14445690433263975
4473,-0.9375304913869155,-1.721655261475123,-0.4568937495922497
4484,-0.7998348735941565,-1.0634375994946415,-0.5679462660873926
4485,0.12487361986805885,0.03079889671389703,0.22043966110032756
4496,0.1573119956459294,0.0607518605490476,0.24621914949162582
4502,-0.6923304207569905,-0.9251861741919292,-0.45516172593983834
4515,-0.996609316259552,-1.3645326743054573,-0.6760682215873978
4517,-0.9608456408937032,-1.255937524218628,-0.689299125373464
4519,-0.7147207315084418,-1.107561841720091,-0.38233845499711466
4526,-1.2468069696836617,-2.0794182739385163,-0.751619230151209
4529,0.5762557520712063,0.3824134481803578,0.7419032634131137
